epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.937,1.55204,2.21574,1.68632,0.22808,0.20939,0.13344,0.06008,2.32884,3.73318,2.4089,0.00066417,0.00066417,0.00066417
2,246.705,1.65755,2.06053,1.78233,0.23362,0.28018,0.16128,0.06993,2.1826,2.93488,2.23681,0.00130888,0.00130888,0.00130888
3,346.303,1.63342,2.04632,1.78062,0.25862,0.22572,0.14532,0.06733,2.20083,3.02555,2.31288,0.00193159,0.00193159,0.00193159
4,438.356,1.55995,1.96995,1.71762,0.39005,0.28806,0.2742,0.14426,1.93982,2.59993,2.02879,0.001901,0.001901,0.001901
5,521.715,1.50313,1.88135,1.68151,0.44667,0.29593,0.29855,0.17609,1.84253,2.18673,1.8919,0.001868,0.001868,0.001868
6,601.174,1.45681,1.82914,1.64926,0.41589,0.29107,0.28445,0.14813,1.92378,2.28111,1.93179,0.001835,0.001835,0.001835
7,681,1.44586,1.81064,1.6306,0.43808,0.30386,0.2985,0.175,1.87377,2.19781,1.92226,0.001802,0.001802,0.001802
8,758.863,1.40581,1.77748,1.60104,0.44957,0.32152,0.3297,0.19131,1.84817,2.12411,1.92582,0.001769,0.001769,0.001769
9,835.137,1.3988,1.73971,1.59268,0.46419,0.36549,0.36066,0.21734,1.76375,2.05402,1.80504,0.001736,0.001736,0.001736
10,912.032,1.37083,1.70801,1.56563,0.45954,0.35171,0.34935,0.20537,1.7804,2.03739,1.83209,0.001703,0.001703,0.001703
11,985.16,1.35397,1.67983,1.5516,0.49464,0.33661,0.34976,0.21475,1.79468,2.04123,1.87227,0.00167,0.00167,0.00167
12,1057.08,1.34403,1.67051,1.54558,0.48491,0.35696,0.3716,0.22887,1.741,2.02764,1.80138,0.001637,0.001637,0.001637
